Name,Short Abrivated Name,Strength_mg,Vial_mL,Diluent,Concentration,Dose Range,KB Dose Range,KB Frequency,KB Recon Example,KB Notes,KB Source
"+ Ipamorelin 10mg","IPA",10,3,"10 mL","1 mg/mL","0.1 - 0.2 mg (10 - 20 u)","0.2 - 0.3 mg 2–3x/day","2–3x daily","","","https://www.peptidedosingprotocols.com/"
"+ Ipamorelin 5mg","IPA",5,3,"5 mL","1 mg/mL","0.1 - 0.2 mg (10 - 20 u)","0.2 - 0.3 mg 2–3x/day","2–3x daily","","","https://www.peptidedosingprotocols.com/"
"+TB500 10+KPV 10)","KLOW",80,3,"3.2 mL","25 mg/mL","2.5 - 5 mg (10 - 20 u)","~1.67 - 2.5 mg/day blend","daily","Ref label: 80 mg + 3.2 mL → 2.5 mg = 10 u","GHK-Cu+BPC+TB+KPV / TB+KPV kit","https://www.peptidedosingprotocols.com/ · Undisclosed KLOW label"
"5-amino-1mq","1MQ",5,3,"2 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"5-amino-1mq","1MQ",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"5-amino-1mq","1MQ",50,3,"5 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"AA.water","AA",0,3,"—","—","—","","","","",""
"ACE 031","ACE",1,3,"0.4 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"ACE-031","ACE",1,3,"0.4 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"ACETIC ACID","AA",3,3,"—","—","—","","","","",""
"ACETIC ACID","AA",10,3,"—","—","—","","","","",""
"Adamax (with adamantane)","ADMX",5,3,"2 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"Adamax 1032 da","ADMX",5,3,"2 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"Adamax 1032 da","ADMX",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
