Enabled,Catalog ID,Full Product Name,Label Name,Amount,Unit,Vial mL,Label Type,Label Size,Template File,Form Text,Storage Temp,Material Color,Visual Type,Base Vial Asset,Diluent,Concentration,Dose Range,Dose Units,QR URL Override,QR Value,QR Enabled,Mascot Enabled,Brand Gap Chars,Company Name,Header Company,Legal Line 1,Legal Line 2,Legal Line 3,Label Output Stem,Website Output Stem,Source,Notes
TRUE,UD-0001,5-amino-1mq,5-AMINO-1MQ,50,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,,,,,,UD|5-AMINO-1MQ|50MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,5_AMINO_1MQ_50MG_40x20_Catalog,5_AMINO_1MQ_50MG_3mL_Website,peptide-master-list / extended list,
TRUE,UD-0002,5-Amino-1MQ,5-AMINO-1MQ,5,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,2 mL,2.5 mg/mL,,,,UD|5-AMINO-1MQ|5MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,5_AMINO_1MQ_5MG_40x20_Catalog,5_AMINO_1MQ_5MG_3mL_Website,pER VIAL / Per Vial; peptide-master-list / extended list,
TRUE,UD-0003,5-Amino-1MQ,5-AMINO-1MQ,10,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,1 mL,10 mg/mL,,,,UD|5-AMINO-1MQ|10MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,5_AMINO_1MQ_10MG_40x20_Catalog,5_AMINO_1MQ_10MG_3mL_Website,pER VIAL / Per Vial; peptide-master-list / extended list,
TRUE,UD-0004,AA.water,AA.WATER,3,ML,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,AA.WATER,36–46°F,CLEAR,CLEAR LIQUID,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,,,,,,UD|AA.WATER|3ML|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,AA_WATER_3ML_40x20_Catalog,AA_WATER_3ML_3mL_Website,peptide-master-list / extended list,
TRUE,UD-0005,ACE-031,ACE-031,1,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,0.4 mL,2.5 mg/mL,,,,UD|ACE-031|1MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,ACE_031_1MG_40x20_Catalog,ACE_031_1MG_3mL_Website,pER VIAL / Per Vial; peptide-master-list / extended list,"HAZARD: Trials halted for vascular events (telangiectasia, epistaxis); development discontinued. 0.4 mL is below the ~0.5 mL floor for wetting the cake and drawing a dose reliably."
TRUE,UD-0006,Acetic acid,ACETIC ACID,3,ML,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,ACETIC ACID,36–46°F,CLEAR,CLEAR LIQUID,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,-,-,,,,UD|ACETIC ACID|3ML|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,ACETIC_ACID_3ML_40x20_Catalog,ACETIC_ACID_3ML_3mL_Website,pER VIAL / Per Vial,Not a therapeutic. Bacteriostatic water carries 0.9% benzyl alcohol (multi-dose); sterile water has no preservative (single use).
TRUE,UD-0007,ACETIC ACID,ACETIC ACID,3,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,ACETIC ACID,36–46°F,CLEAR,CLEAR LIQUID,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,,,,,,UD|ACETIC ACID|3MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,ACETIC_ACID_3MG_40x20_Catalog,ACETIC_ACID_3MG_3mL_Website,peptide-master-list / extended list,
TRUE,UD-0008,ACETIC ACID,ACETIC ACID,10,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,ACETIC ACID,36–46°F,CLEAR,CLEAR LIQUID,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,,,,,,UD|ACETIC ACID|10MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,ACETIC_ACID_10MG_40x20_Catalog,ACETIC_ACID_10MG_3mL_Website,peptide-master-list / extended list,
TRUE,UD-0009,Adamax (1032 Da),ADAMAX (1032 DA),5,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,2 mL,2.5 mg/mL,,,,UD|ADAMAX (1032 DA)|5MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,ADAMAX_1032_DA_5MG_40x20_Catalog,ADAMAX_1032_DA_5MG_3mL_Website,pER VIAL / Per Vial; peptide-master-list / extended list,
TRUE,UD-0010,Adamax (1032 Da),ADAMAX (1032 DA),10,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,1 mL,10 mg/mL,,,,UD|ADAMAX (1032 DA)|10MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,ADAMAX_1032_DA_10MG_40x20_Catalog,ADAMAX_1032_DA_10MG_3mL_Website,pER VIAL / Per Vial; peptide-master-list / extended list,
TRUE,UD-0011,Adamax (984 Da),ADAMAX (984 DA),10,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,1 mL,10 mg/mL,,,,UD|ADAMAX (984 DA)|10MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,ADAMAX_984_DA_10MG_40x20_Catalog,ADAMAX_984_DA_10MG_3mL_Website,pER VIAL / Per Vial,
TRUE,UD-0012,Adamax (with adamantane),ADAMAX,5,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,,,,,,UD|ADAMAX|5MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,ADAMAX_5MG_40x20_Catalog,ADAMAX_5MG_3mL_Website,peptide-master-list / extended list,
TRUE,UD-0013,Adamax 1032da (with adamantane),ADAMAX 1032DA,10,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,,,,,,UD|ADAMAX 1032DA|10MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,ADAMAX_1032DA_10MG_40x20_Catalog,ADAMAX_1032DA_10MG_3mL_Website,peptide-master-list / extended list,
TRUE,UD-0014,Adamax 984da (without adamantane),ADAMAX 984DA,10,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,,,,,,UD|ADAMAX 984DA|10MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,ADAMAX_984DA_10MG_40x20_Catalog,ADAMAX_984DA_10MG_3mL_Website,peptide-master-list / extended list,
TRUE,UD-0015,Adipotide (FTPP),ADIPOTIDE (FTPP),2,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,0.8 mL,2.5 mg/mL,,,,UD|ADIPOTIDE (FTPP)|2MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,ADIPOTIDE_FTPP_2MG_40x20_Catalog,ADIPOTIDE_FTPP_2MG_3mL_Website,pER VIAL / Per Vial,HAZARD: Proximal-tubule renal toxicity in primate studies; never advanced in humans.
TRUE,UD-0016,Adipotide (FTPP),ADIPOTIDE (FTPP),5,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,2 mL,2.5 mg/mL,,,,UD|ADIPOTIDE (FTPP)|5MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,ADIPOTIDE_FTPP_5MG_40x20_Catalog,ADIPOTIDE_FTPP_5MG_3mL_Website,pER VIAL / Per Vial,HAZARD: Proximal-tubule renal toxicity in primate studies; never advanced in humans.
TRUE,UD-0017,Adipotide (FTPP),ADIPOTIDE (FTPP),10,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,1 mL,10 mg/mL,,,,UD|ADIPOTIDE (FTPP)|10MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,ADIPOTIDE_FTPP_10MG_40x20_Catalog,ADIPOTIDE_FTPP_10MG_3mL_Website,pER VIAL / Per Vial,HAZARD: Proximal-tubule renal toxicity in primate studies; never advanced in humans.
